date,instrument,direction,inside_day,b5_origin,rev10,rev20,rev30,rev40,dist_atr,vol_ratio,prevday_body,poc_dist_atr,on_ret_pct
2024-07-08,SPY,1,0,2,2,1,1,1,0.1941506,0.8770989,0.7379135,2.745488,0.1442377
2024-07-09,SPY,1,0,2,1,1,1,1,0.0543763,0.652529,-0.0776699,2.95023,0.1764875
2024-07-11,SPY,1,0,1,2,2,2,2,0.07201249,1.005514,0.8586066,1.787453,0.0231597
2024-08-02,SPY,-1,0,2,0,0,0,0,0.1543307,1.854141,-0.6193256,-0.6136483,-1.368299
2024-08-05,SPY,-1,0,2,2,2,2,2,1.643459,5.482123,-0.3198091,-4.15965,-3.965097
2024-08-13,SPY,1,0,1,2,0,0,0,0.05210863,0.7416343,-0.1978947,1.781409,0.6357005
2024-08-15,SPY,1,0,2,0,0,0,0,0.4082099,0.9952379,0.1858038,1.758877,1.057471
2024-08-19,SPY,1,0,1,2,0,0,0,0.01220534,0.5159328,0.8031915,1.234618,0.07216179
2024-08-20,SPY,1,0,1,2,2,1,1,0.04601006,0.4898662,0.8521739,1.734004,-0.07862619
2024-08-22,SPY,1,0,2,2,2,2,2,0.06472584,0.4770977,0.2141119,2.285949,0.342478
2024-08-26,SPY,1,1,2,2,2,2,2,0.02806951,0.8500301,0.4479167,0.9556998,0.1814527
2024-09-13,SPY,1,0,2,0,0,1,1,0.1830655,0.9353093,0.623494,1.26341,0.1073172
2024-09-17,SPY,1,0,2,2,2,2,2,0.2786672,0.9226768,0.3426791,3.33593,0.3944283
2024-09-19,SPY,1,0,2,2,0,0,1,0.0639806,1.604122,-0.2961538,0.9362059,1.717136
2024-09-26,SPY,1,0,2,2,2,2,1,0.1085041,1.210035,-0.385906,0.8041193,0.780647
2024-10-02,SPY,-1,0,1,2,2,2,2,0.1193834,0.7941132,-0.6487936,-1.092817,-0.1565193
2024-10-14,SPY,1,0,2,0,0,0,1,0.3564725,0.8902703,0.8051712,1.216081,0.2846889
2024-11-06,SPY,1,0,2,2,2,0,1,0.8499901,2.854579,0.9515347,1.129641,2.186579
2024-11-07,SPY,1,0,2,0,0,0,1,0.2019115,1.0188,0.265745,3.748183,0.3468462
2024-11-25,SPY,1,0,2,2,2,2,2,0.4331813,1.505301,0.6296296,2.196617,0.6716932
2024-12-04,SPY,1,0,2,0,0,1,1,0.2904085,0.7240602,0.2849162,1.053014,0.2897783
2024-12-20,SPY,-1,0,2,0,2,2,2,0.6227279,3.871817,-0.7454545,-4.439781,-0.7285446
2025-01-13,SPY,-1,0,2,2,2,2,2,0.1957639,1.236816,-0.7185386,-1.062883,-0.8165515
2025-01-21,SPY,1,0,2,0,0,1,1,0.1006375,0.8390823,0.176,0.8865688,0.5204324
2025-01-22,SPY,1,0,2,0,0,1,1,0.3394926,0.8256929,0.5388128,1.623552,0.4709394
2025-01-24,SPY,1,0,2,2,2,2,1,0.06193201,0.6443255,0.929078,2.343992,0.003280033
2025-02-03,SPY,-1,0,2,0,0,2,2,0.1898008,1.64769,-0.6329966,-1.235165,-1.52205
2025-02-14,SPY,1,0,2,2,1,1,1,0.06052185,0.5715121,0.7881041,0.801194,0.04100175
2025-02-25,SPY,-1,0,1,0,0,0,0,0.01284656,0.9979075,-0.7304747,-2.437176,-0.001674453
2025-03-04,SPY,-1,0,2,2,0,0,0,0.1866062,2.442172,-0.7075688,-2.039709,-0.7108964
2025-03-24,SPY,1,0,1,0,0,0,1,0.1000988,0.950824,0.6632653,1.050127,1.205717
2025-03-31,SPY,-1,0,2,2,2,2,2,0.8567218,1.23932,-0.8775693,-1.465622,-1.040204
2025-04-03,SPY,-1,0,2,0,0,0,0,0.05395905,2.446456,0.7561557,-1.406173,-3.445405
2025-04-04,SPY,-1,0,2,2,2,2,2,1.591479,2.96482,-0.7426797,-3.780968,-2.392398
2025-04-07,SPY,-1,0,2,0,2,2,2,1.750826,3.606122,-0.8936989,-6.239849,-3.176457
2025-04-28,SPY,1,0,2,2,2,2,2,0.09600213,0.5859197,0.537415,1.277388,0.1271248
2025-05-01,SPY,1,0,2,0,0,0,1,0.2509341,0.7761205,0.4646195,0.3923054,1.051322
2025-05-02,SPY,1,0,2,2,2,0,1,0.05658247,0.6068192,-0.3084416,0.8495691,1.106595
2025-05-12,SPY,1,1,2,0,0,0,0,0.8803214,1.636801,-0.4423077,1.44897,3.046036
2025-05-13,SPY,1,0,2,0,0,0,0,0.140121,1.029913,0.2457912,1.97379,0.06861181
2025-05-23,SPY,-1,0,2,0,2,2,2,0.5923369,2.147885,0.08527132,-1.840525,-1.248521
2025-06-04,SPY,1,0,1,2,1,1,1,0.0448834,1.001179,0.7101727,1.155385,0.1526615
2025-06-06,SPY,1,0,1,2,2,2,1,0.2018508,1.447833,-0.5780856,1.576154,0.9358401
2025-06-24,SPY,1,0,1,2,0,1,1,0.09383378,1.019066,0.59375,1.479162,0.7014913
2025-06-25,SPY,1,0,2,2,2,1,1,0.07452094,1.032065,0.5525114,1.985569,0.1845809
2025-06-26,SPY,1,0,2,0,0,0,1,0.1317337,0.9011134,-0.2662116,0.3573277,0.3014231
2025-06-27,SPY,1,0,2,0,0,1,1,0.2246262,0.823057,0.7411168,1.111219,0.1748737
2025-07-18,SPY,1,0,2,2,2,1,1,0.0470948,0.8676979,0.8578199,1.074618,0.2038087
2025-07-21,SPY,1,0,1,0,0,1,1,0.02454966,0.8120126,-0.6041667,0.4575163,0.184837
2025-07-24,SPY,1,0,2,0,1,1,1,0.07655652,1.062305,0.5982143,1.566128,0.06937765
2025-07-29,SPY,1,0,2,2,2,2,1,0.007512073,0.892989,-0.2208835,2.66929,0.2229409
2025-08-01,SPY,-1,0,2,0,0,1,1,1.656871,2.129129,-0.8222345,-2.895631,-0.9207695
2025-08-13,SPY,1,0,2,2,2,1,1,0.4411263,0.951833,0.7359736,2.556228,0.3438672
2025-09-05,SPY,1,0,2,2,2,2,2,0.4978979,1.159074,0.8348135,1.439658,0.3497042
2025-09-10,SPY,1,0,2,0,2,1,1,0.2082599,1.353564,0.3658872,0.8293861,0.5043593
2025-09-15,SPY,1,0,2,0,1,1,1,0.1043297,1.142452,-0.09502262,0.4611372,0.3300832
